date,amount,category,Text
2025-07-04,1.0,Public transport,
2025-07-04,2.0,Public transport,
2025-07-04,1.0,Public transport,
2025-07-04,21.0,Leisure,
2025-07-05,11.0,Taxi,
2025-07-05,5.0,Food,
2025-07-06,6.0,Food,
2025-07-06,1.0,Food,
2025-07-06,11.0,Food,
2025-07-06,28.0,Leisure,
2025-07-06,23.0,Food,
2025-07-06,17.0,Loan given,
2025-07-07,32.0,Job,
2025-07-07,1.0,Public transport,
2025-07-07,9.0,Taxi,
2025-07-07,17.0,Taxi,
2025-07-07,3.0,Cafe,
2025-07-07,10.0,Cafe,
2025-07-08,1.0,Cafe,
2025-07-08,10.0,Cafe,
2025-07-09,1.0,Public transport,
2025-07-09,1.0,Public transport,
2025-07-09,5.0,Food,
2025-07-09,1.0,Public transport,
2025-07-09,14.0,Cafe,
2025-07-09,4.0,Cafe,
2025-07-11,4.0,Gifts,
2025-07-11,1.0,Public transport,
2025-07-11,1.0,Cafe,
2025-07-11,27.0,Food,
2025-07-12,36.0,Gifts,
2025-07-12,12.0,Food,
2025-07-12,4.0,Food,
2025-07-12,5.0,Food,
2025-07-15,1.0,Public transport,
2025-07-16,24.0,Fines,
2025-07-16,4.0,Food,
2025-07-16,21.0,Taxi,
2025-07-16,1.0,Public transport,
2025-07-16,1.0,Public transport,
2025-07-16,1.0,Public transport,
2025-07-17,1.0,Public transport,
2025-07-17,36.0,Health,
2025-07-17,1.0,Public transport,
2025-07-18,1.0,Public transport,
2025-07-19,40.0,Food,
2025-07-19,11.0,Job,
2025-07-20,14.0,Taxi,
2025-07-20,2.0,Public transport,
2025-07-20,64.0,Job,
2025-07-20,8.0,Cafe,
2025-07-20,10.0,Food,
2025-07-20,11.0,Leisure,
2025-07-21,27.0,Food,
2025-07-21,4.0,Food,
2025-07-21,1.0,Public transport,
2025-07-21,1.0,Food,
2025-07-21,1.0,Public transport,
2025-07-21,3.0,Food,
2025-07-21,11.0,Leisure,
2025-07-22,2.0,Public transport,
2025-07-22,0.0,Food,
2025-07-22,6.0,Food,
2025-07-22,1.0,Public transport,
2025-07-23,16.0,Food,
2025-07-28,12.0,Health,
2025-07-29,0.0,Other,
2025-07-30,1.0,Public transport,
2025-07-30,1.0,Public transport,
2025-07-31,31.0,Health,
2025-07-31,1.0,Public transport,
2025-07-31,14.0,Food,
2025-07-31,10.0,Leisure,
